Абсолютный путь,Относительный путь,Класс
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0000.txt,Dataset/Good/0000.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0001.txt,Dataset/Good/0001.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0002.txt,Dataset/Good/0002.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0003.txt,Dataset/Good/0003.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0004.txt,Dataset/Good/0004.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0005.txt,Dataset/Good/0005.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0006.txt,Dataset/Good/0006.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0007.txt,Dataset/Good/0007.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0008.txt,Dataset/Good/0008.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0009.txt,Dataset/Good/0009.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0010.txt,Dataset/Good/0010.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0011.txt,Dataset/Good/0011.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0012.txt,Dataset/Good/0012.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0013.txt,Dataset/Good/0013.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0014.txt,Dataset/Good/0014.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0015.txt,Dataset/Good/0015.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0016.txt,Dataset/Good/0016.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0017.txt,Dataset/Good/0017.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0018.txt,Dataset/Good/0018.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0019.txt,Dataset/Good/0019.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0020.txt,Dataset/Good/0020.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0021.txt,Dataset/Good/0021.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0022.txt,Dataset/Good/0022.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0023.txt,Dataset/Good/0023.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0024.txt,Dataset/Good/0024.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0025.txt,Dataset/Good/0025.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0026.txt,Dataset/Good/0026.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0027.txt,Dataset/Good/0027.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0028.txt,Dataset/Good/0028.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0029.txt,Dataset/Good/0029.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0030.txt,Dataset/Good/0030.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0031.txt,Dataset/Good/0031.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0032.txt,Dataset/Good/0032.txt,Good
/home/nitsense/Документы/ПП/PP_LAB1/Dataset/Good/0033.txt,Dataset/Good/0033.txt,Good
